Entity,Code,Year,Population in the largest city (% of urban population)
South Korea,KOR,1960,34.06752396
South Korea,KOR,1961,34.75128555
South Korea,KOR,1962,35.26238251
South Korea,KOR,1963,35.82453156
South Korea,KOR,1964,36.47434998
South Korea,KOR,1965,37.17456818
South Korea,KOR,1966,37.91806793
South Korea,KOR,1967,38.50091171
South Korea,KOR,1968,39.06388855
South Korea,KOR,1969,39.7148819
South Korea,KOR,1970,40.47431946
South Korea,KOR,1971,40.51125717
South Korea,KOR,1972,40.32933807
South Korea,KOR,1973,40.22225952
South Korea,KOR,1974,40.17348862
South Korea,KOR,1975,40.17090607
South Korea,KOR,1976,39.76451492
South Korea,KOR,1977,39.26780319
South Korea,KOR,1978,38.84002686
South Korea,KOR,1979,38.46598816
South Korea,KOR,1980,38.12627792
South Korea,KOR,1981,37.50817108
South Korea,KOR,1982,36.78398895
South Korea,KOR,1983,36.13978577
South Korea,KOR,1984,35.63185501
South Korea,KOR,1985,35.25715637
South Korea,KOR,1986,34.78521729
South Korea,KOR,1987,34.30742645
South Korea,KOR,1988,33.89279556
South Korea,KOR,1989,33.53131104
South Korea,KOR,1990,33.22414398
South Korea,KOR,1991,32.51214218
South Korea,KOR,1992,31.58926773
South Korea,KOR,1993,30.71341324
South Korea,KOR,1994,29.87483788
South Korea,KOR,1995,29.06972885
South Korea,KOR,1996,28.42815971
South Korea,KOR,1997,27.86635208
South Korea,KOR,1998,27.37568855
South Korea,KOR,1999,26.89722633
South Korea,KOR,2000,26.39464188
South Korea,KOR,2001,26.01029205
South Korea,KOR,2002,25.72708321
South Korea,KOR,2003,25.46454239
South Korea,KOR,2004,25.23683929
South Korea,KOR,2005,25.05999184
South Korea,KOR,2006,24.85830688
South Korea,KOR,2007,24.688797
South Korea,KOR,2008,24.45853996
South Korea,KOR,2009,24.28985023
South Korea,KOR,2010,24.1266098
South Korea,KOR,2011,23.97682381
South Korea,KOR,2012,23.92554474
South Korea,KOR,2013,23.89108467
South Korea,KOR,2014,23.81554604
South Korea,KOR,2015,23.7645092
South Korea,KOR,2016,23.74433708
South Korea,KOR,2017,23.74791908
South Korea,KOR,2018,23.71094131
South Korea,KOR,2019,23.6343956
South Korea,KOR,2020,23.60898209
South Korea,KOR,2021,23.61505127
